booking_date,month_num,month_name,day_of_week,total_tickets,total_revenue,avg_ticket_price
2025-01-01,1,January,Wednesday,197179,36370068000,184452.0
2025-01-02,1,January,Thursday,180268,35447598000,196638.0
2025-01-03,1,January,Friday,174456,33450710000,191743.0
2025-01-04,1,January,Saturday,151182,28309265000,187253.0
2025-01-05,1,January,Sunday,147706,26222927000,177535.0
2025-01-06,1,January,Monday,148463,28693337000,193269.0
2025-01-07,1,January,Tuesday,148381,29686559000,200070.0
2025-01-08,1,January,Wednesday,152489,29797908000,195410.0
2025-01-09,1,January,Thursday,150277,29797497000,198284.0
2025-01-10,1,January,Friday,154842,31131633000,201054.0
2025-01-11,1,January,Saturday,138773,26253621000,189184.0
2025-01-12,1,January,Sunday,138880,25090556000,180664.0
2025-01-13,1,January,Monday,152581,29776151000,195150.0
2025-01-14,1,January,Tuesday,147834,30624837000,207157.0
2025-01-15,1,January,Wednesday,146748,29194115000,198940.0
2025-01-16,1,January,Thursday,147761,29822581000,201830.0
2025-01-17,1,January,Friday,150113,29249340000,194849.0
2025-01-18,1,January,Saturday,134301,24932718000,185648.0
2025-01-19,1,January,Sunday,136180,24159235000,177407.0
2025-01-20,1,January,Monday,146932,28458731000,193686.0
2025-01-21,1,January,Tuesday,151927,29520166000,194305.0
2025-01-22,1,January,Wednesday,139139,26507236000,190509.0
2025-01-23,1,January,Thursday,136135,26035653000,191249.0
2025-01-24,1,January,Friday,150253,28895233000,192311.0
2025-01-25,1,January,Saturday,143373,26218199000,182867.0
2025-01-26,1,January,Sunday,139204,24385187000,175176.0
2025-01-27,1,January,Monday,134661,23788461000,176654.0
2025-01-28,1,January,Tuesday,128507,22913428000,178305.0
2025-01-29,1,January,Wednesday,131311,23189261000,176598.0
2025-01-30,1,January,Thursday,133371,24185045000,181337.0
2025-01-31,1,January,Friday,139912,25858612000,184821.0
2025-02-01,2,February,Saturday,137818,24383815000,176928.0
2025-02-02,2,February,Sunday,136558,23323784000,170798.0
2025-02-03,2,February,Monday,145501,27208460000,186998.0
2025-02-04,2,February,Tuesday,150322,28515536000,189696.0
2025-02-05,2,February,Wednesday,156968,30173020000,192224.0
2025-02-06,2,February,Thursday,162730,31286390000,192260.0
2025-02-07,2,February,Friday,169836,31617765000,186166.0
2025-02-08,2,February,Saturday,158117,29087570000,183962.0
2025-02-09,2,February,Sunday,180165,35140792000,195048.0
2025-02-10,2,February,Monday,215150,48355281000,224751.0
2025-02-11,2,February,Tuesday,220191,51357043000,233239.0
2025-02-12,2,February,Wednesday,227518,53508336000,235183.0
2025-02-13,2,February,Thursday,200437,45009207000,224555.0
2025-02-14,2,February,Friday,195798,40917331000,208977.0
2025-02-15,2,February,Saturday,191652,36664939000,191310.0
2025-02-16,2,February,Sunday,195463,35424704000,181235.0
2025-02-17,2,February,Monday,205053,40137544000,195742.0
2025-02-18,2,February,Tuesday,209934,44731370000,213073.0
2025-02-19,2,February,Wednesday,215781,49689663000,230278.0
2025-02-20,2,February,Thursday,227041,53745454000,236721.0
2025-02-21,2,February,Friday,225727,51640991000,228776.0
2025-02-22,2,February,Saturday,192382,40223140000,209080.0
2025-02-23,2,February,Sunday,250820,65309242000,260383.0
2025-02-24,2,February,Monday,177102,34881036000,196955.0
2025-02-25,2,February,Tuesday,174516,34968533000,200374.0
2025-02-26,2,February,Wednesday,177266,33659942000,189884.0
2025-02-27,2,February,Thursday,198097,34956240000,176460.0
2025-02-28,2,February,Friday,182520,34032764000,186460.0
2025-03-01,3,March,Saturday,172005,32983116000,191757.0
2025-03-02,3,March,Sunday,168921,30807388000,182377.0
2025-03-03,3,March,Monday,160558,30606036000,190623.0
2025-03-04,3,March,Tuesday,147377,28044194000,190289.0
2025-03-05,3,March,Wednesday,132152,25755649000,194894.0
2025-03-06,3,March,Thursday,6947,1224237000,176225.0
2025-03-07,3,March,Friday,154144,28545523000,185187.0
2025-03-08,3,March,Saturday,133729,23687153010,177128.0
2025-03-09,3,March,Sunday,136993,23556530000,171954.0
2025-03-10,3,March,Monday,139948,26014396000,185886.0
2025-03-11,3,March,Tuesday,135402,25979885000,191872.0
2025-03-12,3,March,Wednesday,128231,24078310000,187773.0
2025-03-13,3,March,Thursday,139516,26144692000,187396.0
2025-03-14,3,March,Friday,147653,27097686000,183523.0
2025-03-15,3,March,Saturday,130564,23450941000,179613.0
2025-03-16,3,March,Sunday,126260,22128402001,175261.0
2025-03-17,3,March,Monday,143696,28346842050,197270.0
2025-03-18,3,March,Tuesday,176401,36823678000,208750.0
2025-03-19,3,March,Wednesday,161959,30333565000,187292.0
2025-03-20,3,March,Thursday,153610,28705329017,186871.0
2025-03-21,3,March,Friday,162505,30739878001,189163.0
2025-03-22,3,March,Saturday,150586,27792335000,184561.0
2025-03-23,3,March,Sunday,145687,28872922020,198185.0
2025-03-24,3,March,Monday,139523,26448091696,189561.0
2025-03-25,3,March,Tuesday,139966,26077684790,186314.0
2025-03-26,3,March,Wednesday,138598,24606000976,177535.0
2025-03-27,3,March,Thursday,141750,25515599945,180004.0
2025-03-28,3,March,Friday,143764,28106365061,195503.0
2025-03-29,3,March,Saturday,137752,25756548008,186978.0
2025-03-30,3,March,Sunday,123506,22724115000,183992.0
2025-03-31,3,March,Monday,122102,20490568000,167815.0
2025-04-01,4,April,Tuesday,169322,27866450015,164577.0
2025-04-02,4,April,Wednesday,170087,28082467243,165106.0
2025-04-03,4,April,Thursday,167770,28329007221,168856.0
2025-04-04,4,April,Friday,175535,30282150224,172513.0
2025-04-05,4,April,Saturday,156142,26863575360,172046.0
2025-04-06,4,April,Sunday,160356,26971496043,168198.0
2025-04-07,4,April,Monday,164917,29087338000,176376.0
2025-04-08,4,April,Tuesday,163164,31132326000,190804.0
