departure_date,month_num,month_name,day_of_week,total_passengers,total_departure_revenue,avg_price
2025-01-01,1,January,Wednesday,43966,6035005000,137265.0
2025-01-02,1,January,Thursday,70698,11228452000,158823.0
2025-01-03,1,January,Friday,94270,16948456000,179786.0
2025-01-04,1,January,Saturday,101176,18259052000,180468.0
2025-01-05,1,January,Sunday,123677,24199241000,195665.0
2025-01-06,1,January,Monday,96743,18279930000,188954.0
2025-01-07,1,January,Tuesday,87241,15906947000,182333.0
2025-01-08,1,January,Wednesday,91489,16294370000,178102.0
2025-01-09,1,January,Thursday,93926,17034264000,181358.0
2025-01-10,1,January,Friday,119658,23145002000,193426.0
2025-01-11,1,January,Saturday,116784,19512673000,167083.0
2025-01-12,1,January,Sunday,146609,27098365000,184834.0
2025-01-13,1,January,Monday,106347,18904052000,177758.0
2025-01-14,1,January,Tuesday,94887,16939805000,178526.0
2025-01-15,1,January,Wednesday,100141,18360275000,183344.0
2025-01-16,1,January,Thursday,104200,19703215000,189090.0
2025-01-17,1,January,Friday,127813,25323871000,198132.0
2025-01-18,1,January,Saturday,121919,20751906000,170211.0
2025-01-19,1,January,Sunday,147170,27770630000,188698.0
2025-01-20,1,January,Monday,111826,19822982000,177266.0
2025-01-21,1,January,Tuesday,99359,17789571000,179043.0
2025-01-22,1,January,Wednesday,106108,19474374000,183534.0
2025-01-23,1,January,Thursday,125163,25775871000,205938.0
2025-01-24,1,January,Friday,154876,33901411000,218894.0
2025-01-25,1,January,Saturday,176981,36903910000,208519.0
2025-01-26,1,January,Sunday,184712,38329315000,207509.0
2025-01-27,1,January,Monday,184941,36554554000,197655.0
2025-01-28,1,January,Tuesday,171964,33493927000,194773.0
2025-01-29,1,January,Wednesday,186777,37712670000,201913.0
2025-01-30,1,January,Thursday,145723,28585589000,196164.0
2025-01-31,1,January,Friday,140802,27239712000,193461.0
2025-02-01,2,February,Saturday,151024,27947907000,185056.0
2025-02-02,2,February,Sunday,183288,37089816000,202358.0
2025-02-03,2,February,Monday,133391,24014942000,180034.0
2025-02-04,2,February,Tuesday,114072,19927751000,174694.0
