train_name,relasi,class,tier,km,occupancy_pct,revenue,daily_revenue
TAKSAKA,GMR-YK,EKS,JAUH,512.0,80.5,180754188000.0,169881756.0
TAKSAKA,YK-GMR,EKS,JAUH,512.0,78.2,172731416000.0,162341556.0
SEMBRANI,SBI-GMR,EKS,JAUH,720.0,72.7,120090983000.0,165414577.0
MANAHAN,GMR-SLO,EKS,JAUH,571.0,88.3,118506113000.0,165050297.0
SEMBRANI,GMR-SBI,EKS,JAUH,720.0,71.2,115032754000.0,158447320.0
MANAHAN,SLO-GMR,EKS,JAUH,571.0,70.5,94979553000.0,132283500.0
ARGO MERBABU,GMR-SMT,EKS,SEDANG,440.0,55.8,94762305000.0,91823939.0
ARGO MERBABU,SMT-GMR,EKS,SEDANG,440.0,54.3,93554911000.0,90653984.0
SAWUNGGALIH,PSE-KTA,EKO,SEDANG,447.0,81.7,92452303000.0,86973004.0
JAYAKARTA,PSE-SGU,EKO,JAUH,820.0,92.8,91679432000.0,251176526.0
ARGO SEMERU,GMR-SGU,EKS,JAUH,821.0,109.3,91678901000.0,251175071.0
PANDALUNGAN,JR-SBI-GMR,EKS,JAUH,919.0,150.9,91665477000.0,251138293.0
ARGO SEMERU,SGU-GMR,EKS,JAUH,821.0,103.7,90557266000.0,248102099.0
SAWUNGGALIH,KTA-PSE,EKO,SEDANG,447.0,80.0,89293053000.0,84000991.0
PANDALUNGAN,GMR-SBI-JR,EKS,JAUH,919.0,128.9,87433940000.0,239545041.0
KERTAJAYA,SBI-PSE,EKO,JAUH,719.0,84.6,86837983000.0,237912282.0
BIMA,SGU-GMR,EKS,JAUH,821.0,95.9,84026761000.0,230210304.0
ARGO SINDORO,SMT-GMR,EKS,SEDANG,440.0,64.9,83763763000.0,114902281.0
JAYAKARTA,SGU-PSE,EKO,JAUH,820.0,93.2,83741975000.0,229430068.0
KERTAJAYA,PSE-SBI,EKO,JAUH,719.0,84.2,78942328000.0,216280351.0
MAJAPAHIT,ML-PSE,EKO,JAUH,880.0,133.6,78741302000.0,215729595.0
MAJAPAHIT,PSE-ML,EKO,JAUH,880.0,129.8,77858515000.0,213311000.0
GAJAYANA,GMR-ML,EKS,JAUH,905.0,95.9,77858374000.0,213310614.0
ARGO MURIA,GMR-SMT,EKS,SEDANG,440.0,57.9,77481531000.0,102083704.0
BIMA,GMR-SGU,EKS,JAUH,821.0,84.7,73699712000.0,201917019.0
MALABAR,BD-ML,EKS,JAUH,780.0,129.3,73070029000.0,104535092.0
MALABAR,BD-ML,EKO,JAUH,780.0,161.1,69147301000.0,98923177.0
GAJAYANA,ML-GMR,EKS,JAUH,905.0,115.2,69027273000.0,189115816.0
MATARMAJA,ML-PSE,EKO,JAUH,880.0,106.7,68805531000.0,188508304.0
ARGO BROMO ANGGREK PAGI,GMR-SBI,EKS,JAUH,720.0,75.1,68545536000.0,189352309.0
SANCAKA,YK-SGU,EKO,SEDANG,309.0,70.8,67943897000.0,51085637.0
MATARMAJA,PSE-ML,EKO,JAUH,880.0,103.8,67600555000.0,185207000.0
ARGO DWIPANGGA,GMR-SLO,EKS,JAUH,571.0,102.1,66344990000.0,181767096.0
ARGO WILIS,BD-SGU,EKS,JAUH,696.0,107.1,66031197000.0,169310762.0
BRAWIJAYA,ML-GMR,EKS,JAUH,881.0,82.8,65508834000.0,179476258.0
MALABAR,ML-BD,EKO,JAUH,780.0,153.5,64539542000.0,92331247.0
ARGO BROMO ANGGREK PAGI,SBI-GMR,EKS,JAUH,720.0,70.0,63659369000.0,175854610.0
MALABAR,ML-BD,EKS,JAUH,780.0,107.6,63538162000.0,90898658.0
SANCAKA,YK-SGU,EKS,SEDANG,309.0,89.0,63120256000.0,47458839.0
SANCAKA,SGU-YK,EKO,SEDANG,309.0,65.9,63086474000.0,47433439.0
BRAWIJAYA,GMR-ML,EKS,JAUH,881.0,81.3,61900686000.0,169590921.0
ARGO LAWU,SLO-GMR,EKS,JAUH,571.0,91.2,60306176000.0,165222400.0
ARGO WILIS,SGU-BD,EKS,JAUH,696.0,95.6,59994855000.0,155025465.0
BLAMBANGAN EKSPRES,PSE-SMT-SBI-KTG,EKS,JAUH,1030.0,157.9,59728916000.0,163640866.0
LOGAWA,PWT-SGU-KTG,EKO,JAUH,782.0,142.4,58790354000.0,176019024.0
ARGO BROMO ANGGREK MALAM,SBI-GMR,EKS,JAUH,720.0,58.2,57942742000.0,159183357.0
PROGO,PSE-LPN,EKO,JAUH,512.0,107.9,57870465000.0,158549219.0
ARGO BROMO ANGGREK MALAM,GMR-SBI,EKS,JAUH,720.0,57.7,57594995000.0,157794507.0
BLAMBANGAN EKSPRES,KTG-SBI-SMT-PSE,EKS,JAUH,1030.0,160.9,57334816000.0,157081688.0
SANCAKA,SGU-YK,EKS,SEDANG,309.0,80.0,56984873000.0,42845769.0
PROGO,LPN-PSE,EKO,JAUH,512.0,107.9,55585487000.0,152289005.0
HARINA,SBI-CKP-BD,EKO,JAUH,731.0,100.5,54961455000.0,78628691.0
HARINA,BD-CKP-SBI,EKO,JAUH,731.0,98.2,54186436000.0,77519937.0
LOGAWA,KTG-SGU-PWT,EKO,JAUH,782.0,127.5,53211107000.0,159314692.0
MENOREH,SMT-PSE,EKO,SEDANG,439.0,87.1,52137277000.0,78166832.0
TURANGGA,SGU-BD,EKS,JAUH,696.0,96.9,52024475000.0,142532808.0
MATARAM,PSE-SLO,EKO,JAUH,570.0,86.6,50444474000.0,138204038.0
JAYABAYA,PSE-SBI-ML,EKO,JAUH,817.0,152.4,48926556000.0,134045359.0
PURWOJAYA,CP-KYA-GMR,EKS,SEDANG,406.0,61.4,48519023000.0,85571469.0
LODAYA,SLO-BD,EKO,SEDANG,447.0,108.5,47369453000.0,64889662.0
DHARMAWANGSA EKSPRES,PSE-SBI,EKO,JAUH,719.0,115.3,47296155000.0,129934492.0
SINGASARI,BL-PSE,EKO,JAUH,828.0,111.6,47270429000.0,129508025.0
LODAYA,BD-SLO,EKO,SEDANG,447.0,104.2,46902474000.0,64249964.0
